DATE,USA,FL,GA,IL,MI,NY,NC,OH,PA,TX,CA
2008-01-01,60624,54061,55712,64181,60004,60815,51739,56564,61949,56029,68712
2009-01-01,60200,55186,52415,63940,55625,60731,50681,55486,58259,57416,67888
2010-01-01,58627,52428,52489,60354,55057,59228,52147,54593,57482,56235,64584
2011-01-01,57732,52024,53025,58405,56377,58404,52141,51497,57566,56571,61554
2012-01-01,57623,52036,54352,58437,56491,53854,46933,50121,58625,58649,64403
2013-01-01,59640,54016,52302,60031,62959,55612,51573,56482,61388,57215,67663
2014-01-01,58725,50498,54236,60103,56917,59440,51203,54333,60385,58964,66201
2015-01-01,61748,53345,55468,66006,59221,63375,55500,58235,65980,61701,69527
2016-01-01,63683,55202,57738,66215,61582,66270,57993,58232,65776,62720,71879
2017-01-01,64557,56056,61230,69660,59561,64987,52319,64084,64714,63454,73957
2018-01-01,65127,56329,57542,72307,62312,69348,55014,63533,66513,61628,72662
2019-01-01,69560,59097,57335,75328,64920,72752,61922,65470,71463,68286,79080
2020-01-01,67521,57435,58952,73753,63829,68304,60266,60110,70117,68093,77358
