Macrotrends Data Download

U.S. Death Rate 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,9.649
1951-12-31,9.619,-0.31
1952-12-31,9.589,-0.31
1953-12-31,9.559,-0.31
1954-12-31,9.529,-0.31
1955-12-31,9.499,-0.31
1956-12-31,9.469,-0.32
1957-12-31,9.439,-0.32
1958-12-31,9.409,-0.32
1959-12-31,9.416,0.07
1960-12-31,9.423,0.07
1961-12-31,9.429,0.06
1962-12-31,9.436,0.07
1963-12-31,9.443,0.07
1964-12-31,9.473,0.32
1965-12-31,9.503,0.32
1966-12-31,9.534,0.33
1967-12-31,9.564,0.31
1968-12-31,9.594,0.31
1969-12-31,9.555,-0.41
1970-12-31,9.516,-0.41
1971-12-31,9.476,-0.42
1972-12-31,9.437,-0.41
1973-12-31,9.398,-0.41
1974-12-31,9.288,-1.17
1975-12-31,9.178,-1.18
1976-12-31,9.069,-1.19
1977-12-31,8.959,-1.21
1978-12-31,8.849,-1.23
1979-12-31,8.845,-0.05
1980-12-31,8.841,-0.05
1981-12-31,8.837,-0.05
1982-12-31,8.833,-0.05
1983-12-31,8.829,-0.05
1984-12-31,8.854,0.28
1985-12-31,8.878,0.27
1986-12-31,8.903,0.28
1987-12-31,8.927,0.27
1988-12-31,8.952,0.28
1989-12-31,8.925,-0.3
1990-12-31,8.898,-0.3
1991-12-31,8.871,-0.3
1992-12-31,8.844,-0.3
1993-12-31,8.817,-0.31
1994-12-31,8.785,-0.36
1995-12-31,8.754,-0.35
1996-12-31,8.722,-0.37
1997-12-31,8.691,-0.36
1998-12-31,8.659,-0.37
1999-12-31,8.631,-0.32
2000-12-31,8.603,-0.32
2001-12-31,8.576,-0.31
2002-12-31,8.548,-0.33
2003-12-31,8.52,-0.33
2004-12-31,8.441,-0.93
2005-12-31,8.362,-0.94
2006-12-31,8.282,-0.96
2007-12-31,8.203,-0.95
2008-12-31,8.124,-0.96
2009-12-31,8.131,0.09
2010-12-31,8.138,0.09
2011-12-31,8.145,0.09
2012-12-31,8.152,0.09
2013-12-31,8.159,0.09
2014-12-31,8.264,1.29
2015-12-31,8.369,1.27
2016-12-31,8.475,1.27
2017-12-31,8.58,1.24
2018-12-31,8.685,1.22
2019-12-31,8.782,1.12
2020-12-31,8.88,1.12
2021-12-31,8.977,1.09
2022-12-31,9.075,1.09
2023-12-31,9.172,1.07
2024-12-31,9.226,0.59
2025-12-31,9.28,0.59
2026-12-31,9.333,0.57
2027-12-31,9.387,0.58
2028-12-31,9.441,0.58
2029-12-31,9.456,0.16
2030-12-31,9.472,0.17
2031-12-31,9.487,0.16
2032-12-31,9.503,0.17
2033-12-31,9.518,0.16
2034-12-31,9.607,0.94
2035-12-31,9.696,0.93
2036-12-31,9.784,0.91
2037-12-31,9.873,0.91
2038-12-31,9.962,0.9
2039-12-31,10.039,0.77
2040-12-31,10.115,0.76
2041-12-31,10.192,0.76
2042-12-31,10.268,0.75
2043-12-31,10.345,0.75
2044-12-31,10.388,0.42
2045-12-31,10.431,0.41
2046-12-31,10.473,0.4
2047-12-31,10.516,0.41
2048-12-31,10.559,0.41
2049-12-31,10.565,0.06
2050-12-31,10.572,0.07
2051-12-31,10.578,0.06
2052-12-31,10.585,0.07
2053-12-31,10.591,0.06
2054-12-31,10.568,-0.22
2055-12-31,10.545,-0.22
2056-12-31,10.521,-0.23
2057-12-31,10.498,-0.22
2058-12-31,10.475,-0.22
2059-12-31,10.443,-0.31
2060-12-31,10.411,-0.31
2061-12-31,10.379,-0.31
2062-12-31,10.347,-0.31
2063-12-31,10.315,-0.31
2064-12-31,10.3,-0.15
2065-12-31,10.285,-0.15
2066-12-31,10.269,-0.16
2067-12-31,10.254,-0.15
2068-12-31,10.239,-0.15
2069-12-31,10.256,0.17
2070-12-31,10.273,0.17
2071-12-31,10.291,0.18
2072-12-31,10.308,0.17
2073-12-31,10.325,0.16
2074-12-31,10.364,0.38
2075-12-31,10.402,0.37
2076-12-31,10.441,0.37
2077-12-31,10.479,0.36
2078-12-31,10.518,0.37
2079-12-31,10.555,0.35
2080-12-31,10.592,0.35
2081-12-31,10.628,0.34
2082-12-31,10.665,0.35
2083-12-31,10.702,0.35
2084-12-31,10.719,0.16
2085-12-31,10.735,0.15
2086-12-31,10.752,0.16
2087-12-31,10.768,0.15
2088-12-31,10.785,0.16
2089-12-31,10.773,-0.11
2090-12-31,10.761,-0.11
2091-12-31,10.749,-0.11
2092-12-31,10.737,-0.11
2093-12-31,10.725,-0.11
2094-12-31,10.699,-0.24
2095-12-31,10.673,-0.24
2096-12-31,10.646,-0.25
2097-12-31,10.62,-0.24
2098-12-31,10.594,-0.24
2099-12-31,10.568,-0.25
2100-12-31,10.542,-0.25
