DATE,US Unemployment Rate,,,,,
"Jan 1, 2021",6.40%,,,,,
"Jan 1, 2020",3.50%,,,,,
"Jan 1, 2019",4.00%,,,,,
"Jan 1, 2018",4.00%,,,,,
"Jan 1, 2017",4.70%,,,,,
"Jan 1, 2016",4.80%,,,,,
"Jan 1, 2015",5.70%,,,,,
"Jan 1, 2014",6.60%,,,,,
"Jan 1, 2013",8.00%,,,,,
"Jan 1, 2012",8.30%,,,,,
"Jan 1, 2011",9.10%,,,,,
"Jan 1, 2010",9.80%,,,,,
"Jan 1, 2009",7.80%,,,,,
"Jan 1, 2008",5.00%,,,,,
"Jan 1, 2007",4.60%,,,,,
"Jan 1, 2006",4.70%,,,,,
"Jan 1, 2005",5.30%,,,,,
"Jan 1, 2004",5.70%,,,,,
"Jan 1, 2003",5.80%,,,,,
"Jan 1, 2002",5.70%,,,,,
"Jan 1, 2001",4.20%,,,,,
"Jan 1, 2000",4.00%,,,,,
"Jan 1, 1999",4.30%,,,,,
